HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:5865	353		28831
HGNC:5866	353		28830
HGNC:5867	353		28829
HGNC:5868	353		28828
HGNC:5869	353		28827
HGNC:28614	354	6801526	204777
HGNC:5870	591|471	3139558, 2511029	3543
HGNC:5871		8406611, 3003227	3544
HGNC:5872		8406611	91353
HGNC:38475			100287528
HGNC:38476	591		100423062
HGNC:34550	590|1052		402665
HGNC:5873		3923830	
HGNC:5874		3923830	
HGNC:5875		3923432	
HGNC:5876	353		28826
HGNC:5877	353		28825
HGNC:5878	353		28824
HGNC:5879	353		28823
HGNC:5880	353		28822
HGNC:5881	353		28821
HGNC:5882	353		28820
HGNC:5883	353		28819
HGNC:5894	353		28818
HGNC:5895	353		28817
HGNC:5887	353		28816
HGNC:5888	353		28815
HGNC:5889	353		28814
HGNC:5890	353		28813
HGNC:5891	353		28812
HGNC:5892	353		28811
HGNC:5893	353		28810
HGNC:5896	353		28809
HGNC:5904	353		28808
HGNC:5915	353		28807
HGNC:5916	353		28806
HGNC:5917	353		28805
HGNC:5918	353		28804
HGNC:5897	353		28803
HGNC:5898	353		28802
HGNC:5899	353		28801
HGNC:5900	353		28800
HGNC:5901	353		28799
HGNC:5902	353		28798
HGNC:5903	353		28797
HGNC:5905	353		28796
HGNC:5906	353		28795
HGNC:5907	353		28794
HGNC:5908	353		28793
HGNC:5909	353		28792
HGNC:5910	353		28791
HGNC:5911	353		28790
HGNC:5912	353		28789
HGNC:5913	353		28788
HGNC:5914	353		28787
HGNC:5919	353		28786
HGNC:5920	353		28785
HGNC:5921	353		28784
HGNC:5922	353		28783
HGNC:5923	353		28782
HGNC:5924	353		28781
HGNC:5925	353		28780
HGNC:5926	353		28779
HGNC:5927	353		28778
HGNC:5928	353		28777
HGNC:5929	353		28776
HGNC:5930	353		28775
HGNC:5931	353		28774
HGNC:5932	354		100996586
HGNC:5933	353		28773
HGNC:5884	353		28772
HGNC:5885	353		28771
HGNC:5886	353		28770
HGNC:5934	353		28769
HGNC:5935	353		28768
HGNC:5936	353		28767
HGNC:5937	353		28766
HGNC:5938	353		28765
HGNC:5939	353		28764
HGNC:5940	353		28763
HGNC:5941	353		28762
HGNC:5942	353		28761
HGNC:5943	353		28760
HGNC:5944	353		28759
HGNC:15692	353		84097
HGNC:15694	354		84088
HGNC:15695	354		84087
HGNC:5945	353		28758
HGNC:5946	353		28757
HGNC:15689	353		84091
HGNC:15690	353		84090
HGNC:15691	353		84089
HGNC:5947			
HGNC:5948	594	9521868, 9729118	3547
HGNC:5950	590	9790749	3321
HGNC:5952	1410|593		150084
HGNC:5953	590	9809579	10261
HGNC:17813	590|471	11504738, 11673522	93185
HGNC:18132	593|555	11991715	57549
HGNC:32326	593|590|555		22997
HGNC:26384	593|1691	27137492	285313
HGNC:16669	1414|593	12207903	152404
HGNC:40777	1987		100506765
HGNC:28246	590	28864826	84966
HGNC:41190	1987		105376814
HGNC:26750	593|555		283284
HGNC:40040	594		147710
HGNC:5954			
HGNC:5955			
HGNC:5956	1373|1691	7590746, 14770182	3549
HGNC:5957		2791656	
HGNC:5958	1507|1691	7970704	3550
HGNC:26430		15389287	121457
HGNC:31413			
HGNC:5960	1802|1817	9878263, 9763654, 18308615	3551
HGNC:14552	1802|1691	10421793, 10882136	9641
HGNC:5961	66|1817	9751060, 10087442, 11590134	8517
HGNC:24455		11709543	246210
HGNC:13176	694|28	1439790, 7935426	10320
HGNC:13177	28	9512513, 9560339	22807
HGNC:13178	28	9155026, 10552935	22806
HGNC:13179	28	10978333	64375
HGNC:14283	28	10978333	64376
HGNC:5991	601	8188271, 2989698	3552
HGNC:5992	601	2954882, 2989698	3553
HGNC:15552	601	11747621, 11991723, 11991722	84639
HGNC:5993	593|1296|471|602	1833184, 10191101	3554
HGNC:53898	1987	29763905	
HGNC:5994	594|471|602	10191101, 1833184	7850
HGNC:5995	594|1296|602	9479509, 9065432	3556
HGNC:5996	593|1296|1691|602	10471494, 10757639	11141
HGNC:5997	594|1296|602	10757639	26280
HGNC:5998	593|1296|602	1482686, 10191101, 16286016	9173
HGNC:5999	594|1296|602	8898719, 10191101, 11466363	8808
HGNC:6000	601|602	1386337, 8432529	3557
HGNC:6001	601	3260003	3558
HGNC:6007			
HGNC:6008	1179|471|602	3925551, 17676041	3559
HGNC:6009	471|602		3560
HGNC:6010	555|471|602	1631559, 7883965	3561
HGNC:6011	601	3489530	3562
HGNC:6012	715|471|602	1833064	3563
HGNC:6013			
HGNC:6014	601	3016727	3565
HGNC:19094		12031486	259307
HGNC:6015	471|602	1679753	3566
HGNC:6016	601	3498940	3567
HGNC:6017	471|602	1732409	3568
HGNC:6018	601|598|1264	3294161	3569
HGNC:40301	1987		541472
HGNC:6019	594|471|602		3570
HGNC:53716	1987	28839111	
HGNC:6020		1889804	157916
HGNC:6021	555|471|602	2261637	3572
HGNC:16241			
HGNC:6022		7736792	3573
HGNC:6023	601		3574
HGNC:6024	555|471|602	2317865	3575
HGNC:6029	601	8379467	3578
HGNC:6030	716|471|602	1376929, 8666384	3581
HGNC:6031		8666384	100128449
HGNC:6032		8666384	439945
HGNC:6033		8666384	729486
HGNC:6034		8666384	100132166
HGNC:5962	601	9162098	3586
HGNC:5963			
HGNC:5964	471|602	8120391	3587
HGNC:5965	471|602	8314576, 9312047	3588
HGNC:44303	1990		100288432
HGNC:5966	601|1264	1386338	3589
HGNC:5967	594|602	7670098, 8808281	3590
HGNC:5968			
HGNC:5969	601	1673147	3592
HGNC:49094	1987		101928376
HGNC:5970	594|601	1673147	3593
HGNC:5971	555|471|602	9284929	3594
HGNC:5972	555|602	9284929, 8943050	3595
HGNC:5973	601		3596
HGNC:5974	471|602	8910586, 9013879	3597
HGNC:5975	471|602	8663118, 9083087	3598
HGNC:5976			
HGNC:5977	601	8178155	3600
HGNC:5978	1179|471|602	8530383	3601
HGNC:5979			
HGNC:5980	601|1220	9144227	3603
HGNC:5981	601	8390535	3605
HGNC:5982	601	10639155	27190
HGNC:5983	601	10639155	27189
HGNC:5984	601	12097364	53342
HGNC:16404	601	11591732, 11591768	112744
HGNC:5985	471|602	9367539, 10591208	23765
HGNC:18015	602	10749887, 10815801	55540
HGNC:18358	602	11706037	84818
HGNC:17616	1296|602	11802164, 12604616	54756
HGNC:18439	602		132014
HGNC:33808			400935
HGNC:5986	601	7477296, 9693051	3606
HGNC:5987	594	10023777	10068
HGNC:5988	594|1296|471|602	8626725, 10191101	8809
HGNC:5989	594|1296|1691|471|602	9792649	8807
HGNC:5990	601	11196675	29949
HGNC:6002	601	11163236	50604
HGNC:6003	602	10875937, 11163236	53832
HGNC:6004	555|602	11163236, 16703417	53833
HGNC:40298	1987		
HGNC:6005	601	11081504, 17947662	59067
HGNC:40299	1987		
HGNC:6006	471|602	11081504	50615
HGNC:27551	1987	26857419	283888
HGNC:14900	601	10954742, 10875937	50616
HGNC:13700	602	10875937	58985
HGNC:14901	602	11481447, 11390454	116379
HGNC:15488	601	11114383	51561
HGNC:19100		12023369	149233
HGNC:11346	601	8545104, 8799171	11009
HGNC:13765	601	11058597, 11754819	
HGNC:17119	601	10729163, 11528524	55801
HGNC:19157	601	12121660	246778
HGNC:17290	555|602	9600072, 11057672	9466
HGNC:19372	601	15184896	386653
HGNC:18969	555|602	15184896, 11877449	133396
HGNC:16830	601	1729377, 9653642	9235
HGNC:16028	601	10566975, 12819012	90865
HGNC:28529	601	18467591	146433
HGNC:15562	601	10625660	27179
HGNC:15564	601	10625660, 10512743, 16646978	27177
HGNC:15741	601	10860666, 10744718, 11991722, 11991723	56300
HGNC:15561	601	10625660, 10512743, 11574262	26525
HGNC:15563	601	10625660, 10512743, 12496389	27178
HGNC:6035			
HGNC:13331			
HGNC:28741		15641023, 21255762	286676
HGNC:18131			387597
HGNC:6037		7519613	3608
HGNC:44695			100421506
HGNC:44696			644616
HGNC:6038		7519613, 8885239, 25447144	3609
HGNC:27115	1990	28935763	147727
HGNC:6039		7519613	
HGNC:6040	403	8538749	3611
HGNC:15566	701		80895
HGNC:21215		25736925, 29802199, 30252044	64771
HGNC:54748			105369222
HGNC:6041		8954801	10994
HGNC:6042			
HGNC:6043			
HGNC:6044			
HGNC:6045			
HGNC:6046			
HGNC:26317		15814844	196294
HGNC:51131			729101
HGNC:51132			105369987
HGNC:51134			
HGNC:14598		11254443	83943
HGNC:41402			
HGNC:6047	1616|1691	9168817, 8039717	10989
HGNC:6048			54045
HGNC:14497	1486	11543634, 12655004	55272
HGNC:49385			646087
HGNC:49386			
HGNC:30856	1486	8619474, 9110174, 12655004	92856
HGNC:6049			
HGNC:6050	1079	1377913	3612
HGNC:33956			650747
HGNC:6051	1079	9322233	3613
HGNC:20387		11116084	55364
HGNC:6052		1969416, 11875049, 11875050	3614
HGNC:19912			340499
HGNC:33957			402394
HGNC:33958			136307
HGNC:33959			139334
HGNC:33960			340780
HGNC:33961			392267
HGNC:33962			391467
HGNC:33963			131961
HGNC:33964			441132
HGNC:33965			
HGNC:6054		7905856	727833
HGNC:6053		9858805, 1969416	3615
HGNC:6055			3617
HGNC:18362		10542133	50939
HGNC:6056			
HGNC:6057	611	7769995	9118
HGNC:27406		12477932	255783
HGNC:35165		19531736	100505573
HGNC:25599		28436939, 29420262	55765
HGNC:32224		15159402, 18756329	388324
HGNC:6058	1338	1860899, 11453556	3619
HGNC:6060	1992	9244435	8552
HGNC:6061	1992	9244435	8551
HGNC:23791	2006|1492	16818491	64423
HGNC:6062	88	8944021, 9186514	3621
HGNC:6063	88	10072587	3622
HGNC:14587	88	12080476	54556
HGNC:19423	88	12750254	51147
HGNC:19421	88	12750254	84289
HGNC:6064		10626813	27160
HGNC:6065	1662	3345731	3623
HGNC:6066	1662	3345731	3624
HGNC:40303	1987	28423525	285954
HGNC:6067	1662	3345731	3625
HGNC:6068	1662	7826378	3626
HGNC:24029	1662	12242034	83729
HGNC:11759	908		100129696
HGNC:24994		11042152	58493
HGNC:32480		20175189, 26607847	389119
HGNC:28045		26292052	55924
HGNC:49446	1987		100506343
HGNC:6069	1400	10552930	11185
HGNC:41995			100526825
HGNC:26956	595|1167	16298340, 16230350, 20237820	54617
HGNC:53138	1987	27816668	
HGNC:13324	595|83	16230350	83444
HGNC:49199			100532735
HGNC:26994	595	16230350	125476
HGNC:25997	595	16230350	54891
HGNC:26905	595	16230350	283899
HGNC:6070			
HGNC:6071	1079	8390685	3628
HGNC:6072			
HGNC:6073			
HGNC:6074	823	7608176, 9295334	3631
HGNC:6075	823|1079	9295334	8821
HGNC:6076	1079	8013665	3632
HGNC:6077	1079	1718960	3633
HGNC:6078			
HGNC:6079	741|1079	8643691, 8874179	3635
HGNC:21474	1079	10764818, 10577920, 19668216	56623
HGNC:17054	1079	11274189, 25869669	22876
HGNC:8956	1079	10591208	27124
HGNC:33882	1079	10753883, 12536145	51763
HGNC:6080	760|741|1079	8530088	3636
HGNC:6081	1902	6243748, 7773291	3630
HGNC:33527		16531418	723961
HGNC:6082		7935390	
HGNC:33116	1492	16458856	387755
HGNC:6083		9268630	3638
HGNC:20452		12242332	51141
HGNC:6084			
HGNC:6085			
HGNC:6086	542	8020942	3640
HGNC:6087		8666396, 9730618	3641
HGNC:6088	542	10458910	10022
HGNC:6089		10819760	11172
HGNC:6090	1259	8188699, 16569215	3642
HGNC:17539	1259|28	21343251	84684
HGNC:6091	321|555|471	2983222	3643
HGNC:6092			
HGNC:6093	321|555	2768234, 2249481	3645
HGNC:6094			
HGNC:6095			
HGNC:33753		25048349, 27609886	388135
HGNC:51422	1987		101929221
HGNC:33859		27609886	642938
HGNC:37271			100131897
HGNC:6097			
HGNC:6098			
HGNC:6099			
HGNC:6100			
HGNC:6101			
HGNC:24555	1492|1366	16239144	26173
HGNC:29241	1366	16239144	57508
HGNC:26153	1366	16239144	65123
HGNC:25048	1492|1366	16239144	92105
HGNC:21925			285905
HGNC:22351			644619
HGNC:29352	1492|1366	16239144	80789
HGNC:14879	1366	10467397, 16239144	26512
HGNC:42691	1987		100507398
HGNC:27334	1366		203522
HGNC:41180	1987		
HGNC:43921			285634
HGNC:24484	1492|1366	16239144	25896
HGNC:26048	1366	16239144	55656
HGNC:25592	1366	16239144	55756
HGNC:53139	1987	27816668	
HGNC:25548	1366	16239144	55174
HGNC:26052	1366|1691	15684398, 16239144	54973
HGNC:25067	88|1366	16239144	57117
HGNC:20174	1366	12414650, 19357193, 23097494	55726
HGNC:25372	1366	11230166	81556
HGNC:29239	1220|1610	10574462, 21761479	27152
HGNC:17870	403	12872123	27130
HGNC:6103			
HGNC:6104			
HGNC:6105			
HGNC:18360			9807
HGNC:17313		10574768	51447
HGNC:17269		11502751	117283
HGNC:21204	682	11804589, 19756519	26034
HGNC:20739		12223481, 12027805	253430
HGNC:39354			401730
HGNC:19426	1495|596	11823430	79711
HGNC:6402	1495|596	9114010, 9271386, 17005651	3843
HGNC:49687			100132815
HGNC:9852	596|1835	9214382	10527
HGNC:39837			100129708
HGNC:39838			100128337
HGNC:9853	596	9214382	10526
HGNC:41955			100418819
HGNC:19425	596|1691	11823430, 10574461	55705
HGNC:40892	1987		
HGNC:20628	596		51194
HGNC:16853	596	9872452, 11447110	9670
HGNC:6108	861|617	1905535, 8432546	3652
HGNC:14645		12084730	64768
HGNC:39390			
HGNC:6109	1992	7849716, 9601023, 24816254	3653
HGNC:49576			642574
HGNC:26195	981|413	23427265	79781
HGNC:41137	1987		
HGNC:22831			392843
HGNC:28949	1492	15723066	9657
HGNC:17727			340192
HGNC:25545			55721
HGNC:25168	981|1491	23427265, 24804578	115811
HGNC:29171		10470851	23288
HGNC:28607		25380116	132141
HGNC:31815			389123
HGNC:31816			401067
HGNC:54720			100506840
HGNC:35159			389124
HGNC:41297	1987		101928999
HGNC:35158			440956
HGNC:25251	981|1491	11230166, 23427265, 24362311	84223
HGNC:25721		12477932	64799
HGNC:44104	1987		100506686
HGNC:32406		17045569	654502
HGNC:38842			100505385
HGNC:41303	1987	31205916	100874433
HGNC:28556		10493829	124152
HGNC:53443			285423
HGNC:29350		11214970, 11230166	80726
HGNC:6110		8051149, 8670801	8826
HGNC:6111		8756646	10788
HGNC:20669			128239
HGNC:29112	1881	9872452, 8619474, 31607425	9922
HGNC:29059	1881	9628581, 20473311, 26793055	23096
HGNC:29193	1881	10470851	440073
HGNC:49848			100132450
HGNC:49849			100130073
HGNC:49850			728056
HGNC:21995			154865
HGNC:50365	1992	25092925, 27644252	104472848
HGNC:6112		9374458, 8599092	3654
HGNC:17368		11096118	134728
HGNC:6113		9374458	3656
HGNC:17020	1691	10383454	11213
HGNC:17967		3772297, 10508479	51135
HGNC:6114			
HGNC:6115		2172968	3658
HGNC:6116	1743	2726461, 1680796	3659
HGNC:33838	1987		441108
HGNC:6117	1743	2475256	3660
HGNC:21728		12799427	26145
HGNC:21729		12799427	359948
HGNC:14282		11095982, 17627301	64207
HGNC:6118	1743	8524823	3661
HGNC:6119	1743	8921401, 18417578	3662
HGNC:6120	1743		3663
HGNC:41981			100420406
HGNC:6121	1743	12219090	3664
HGNC:6122	1743		3665
HGNC:5358	1743|1691	1460054, 11997525	3394
HGNC:6131	1743	1630447, 10199920	10379
HGNC:28835		20737271	56269
HGNC:29597		7561525, 14576437	345611
HGNC:24868		16277747	126298
HGNC:6123			
HGNC:6124			
HGNC:6125	682	1648180	3667
HGNC:6126	682	9312143	8660
HGNC:6127		9799793, 12488959	442338
HGNC:6128		9261155, 9553137	8471
HGNC:14358	526		79192
HGNC:33315	526		646390
HGNC:14359	526	11435706	153572
HGNC:14360	526		79191
HGNC:6129	526	10625552	50805
HGNC:40305	1987		101929056
HGNC:33316	526	1973146	
HGNC:14361	526		10265
HGNC:14675	526		79190
HGNC:28660	1853	15262227, 22323289	81689
HGNC:33263			389293
HGNC:38023			100288517
HGNC:38024			100131092
HGNC:38025			100128012
HGNC:38026			100288250
HGNC:38027			100130549
HGNC:19857	1853	22323289	122961
HGNC:38022			100287193
HGNC:29882	1853	8875867, 11060020	23479
HGNC:38021			100462833
HGNC:4053		3087979	9636
HGNC:6130	544	9235947, 9605874	3669
HGNC:25745	544	18065403	81875
HGNC:6132	522	7912209	3670
HGNC:18524	522		64843
HGNC:6133	593	9325048	3671
HGNC:29286	594	10819331, 12975309	57611
HGNC:16213		19874420, 25952901	140862
HGNC:44313	1987		100505536
HGNC:23176		15194193	145501
HGNC:24254	1691	10810093, 18566572	51015
HGNC:26278		17658461	79763
HGNC:28977	1119	8724849, 19129480	9798
HGNC:28084	521		91464
HGNC:29201	1507|1508|1516|1510	16103217	57461
HGNC:42969			100534599
HGNC:29821		15024000, 12941308	51477
HGNC:13890	823|1691|1959	11318614	83737
HGNC:40659	1987		
HGNC:41397	1989		
HGNC:30697		12598909, 25437307	81533
HGNC:51383	1987		101927102
HGNC:30879	1393	28199306	55846
HGNC:53128	1987	27646849	283440
HGNC:6134	1160|471	8428973, 11937138	3672
HGNC:6137	1160|471		3673
HGNC:6138	1160|694|471		3674
HGNC:6139	1160|471	1655803, 9704023	3675
HGNC:6140	1160|471	1537388	3676
HGNC:6141	1160|471	2454952	3678
HGNC:6142	1160|471		
HGNC:40308	1987	29959764	
HGNC:6143	1160	7607681	3679
HGNC:6144	1160	7768999	8516
HGNC:6145	1160	8245132, 8290272	3680
HGNC:49668	1987		101928153
HGNC:6135	1160	9685391, 10702680	8515
HGNC:6136	1160	10486209	22801
HGNC:6146	1160|471	8666289, 9598326	3681
HGNC:6147	1160|471	8119947	3682
HGNC:6148	1160|1691|471	3284962	3683
HGNC:6149	1160|1639|471		3684
HGNC:6150	1160|471	2454952	3685
HGNC:6151			
HGNC:6152	1160|1639|471	3284962, 2303426	3687
HGNC:6153	1159|471	2524991	3688
HGNC:53718	1990		101929475
HGNC:23927		11854171, 9281591	9270
HGNC:6154		10506186	26548
HGNC:3781		1979054	100422691
HGNC:6155	1159|1639|471		3689
HGNC:44304	1987		100505746
HGNC:6156	1159|471	2454952	3690
HGNC:6157	1576	7593198, 10490654	23421
HGNC:6158	1159|555|471	2070796	3691
HGNC:6160	1159	2211615	3693
HGNC:40309	1987		
HGNC:6161	1159	1729173, 8120056	3694
HGNC:6162	1159	2040616	3695
HGNC:6163	1159		3696
HGNC:6164	1159	10051402	9358
HGNC:6165			
HGNC:6166	1840	1385302, 10100603	3697
HGNC:6167	1250|1840	1385302, 10100603	3698
HGNC:43432			
HGNC:6168	1840	2465147, 10100603	3699
HGNC:6169	1840	9480842, 7805892	3700
HGNC:40310	1987		
HGNC:21449	1840	14744536	80760
HGNC:28907	1840	12975309	347365
HGNC:6170			
HGNC:6171	1457|741|682	8364206	3702
HGNC:18259		11313366, 11181563	55600
HGNC:20599	554	11181563	142683
HGNC:6173	457	9892734, 8702637	9452
HGNC:6174	457	9795190	9445
HGNC:20919			100420308
HGNC:6175	457	9653160	81618
HGNC:6176		11278832	3704
HGNC:6177		8662638, 11042108	3705
HGNC:20132	1987		319085
HGNC:6178		1330886, 2175886	3706
HGNC:6179		1654894, 1330886	3707
HGNC:40312	1987		
HGNC:41349	1989		100506443
HGNC:14897		11085927	80271
HGNC:6180	297|694	7945203, 7500840, 17590087, 17932120, 22986007	3708
HGNC:44470	1990		100996539
HGNC:6181	297|1491	8081734	3709
HGNC:6182	297|694	8081734, 8288584	3710
HGNC:27363		14702039	223075
HGNC:11319		1555770, 23541577	6744
HGNC:29370		11214970, 16990268	85450
HGNC:54100	1987		101927472
HGNC:29371		12477932	150771
HGNC:27257			162073
HGNC:6183	823|863|722|682	9799604, 9813051	6453
HGNC:6184	823|863|722	10922467, 11748279	50618
HGNC:6185			
HGNC:6186	974	2063866	3712
HGNC:6187	1352	2873896	3713
HGNC:16951	861|617	9696811, 10048485, 16582008	10625
HGNC:25467		17234882, 17184735	55677
HGNC:21071		16316988, 15289438	389434
HGNC:28539	1410|56	15759005, 18952059, 19658160, 22957301	284359
HGNC:32565	1410	11111049, 24739963	390243
HGNC:28518	56	19658160, 22957301	126123
HGNC:31421	56	19658160, 22957301	100129669
HGNC:26950	56	12975309, 19658160, 22957301	113177
HGNC:30027	88	11347906, 12169691	79960
HGNC:22984	88		23338
HGNC:22982	88	11944989	9767
HGNC:48601	1992	24097061	101669763
HGNC:6188	1691|471	7697721, 9207788	182
HGNC:6189	1691	9315665, 10662552	3714
HGNC:26926		25129144, 25129145, 26882284	84522
HGNC:6190	1459|1293	1848670, 7698020	3716
HGNC:6191			
HGNC:6192	1459|741|1293	1848670	3717
HGNC:6193	1459	8921370, 9226382	3718
HGNC:26460		18941173	152789
HGNC:29067		9628581	9832
HGNC:27203	1987		153469
HGNC:23523		15277531, 17572408	282973
HGNC:14686	1410|593|590|471	10779521, 10945976	58494
HGNC:15532	1410|590|1835		83700
HGNC:19084	1410|590	12975309	120425
HGNC:6196	1368|418	8894700	3720
HGNC:40314	1987		100506681
HGNC:28917	28	8401585	221895
HGNC:41218	1987		100128081
HGNC:6194			
HGNC:21089		10577920, 19668216	
HGNC:29283		21884682, 24349219	57608
HGNC:54491			729056
HGNC:5713		3016707, 2984306	3512
HGNC:5714		7916122	3513
HGNC:17546	506	12052888, 9154808, 17545590	122953
HGNC:26288		23906841	79864
HGNC:6195			
HGNC:20184		16166642, 19269966	51528
HGNC:49759			100049717
HGNC:12313	485|1691	7776974, 24240613, 31076406	221037
HGNC:28222	1987	12477932	84989
HGNC:25724		24486019	65094
HGNC:19355	1368	11877474	23210
HGNC:34397	1368		100137047
HGNC:34449			8681
HGNC:14148			339123
HGNC:6197			
HGNC:28916	14	10518217, 22316129	133746
HGNC:28953	997	7584044	9929
HGNC:28853	997		126119
HGNC:6198			
HGNC:14201	1601	10891348, 10949023	56704
HGNC:14202	1601	10891348, 10949023	57158
HGNC:14203	775|1601	10949023, 10891348	57338
HGNC:20156	1601	11347906	84502
HGNC:14569		15094197, 16518797	51155
HGNC:54768			100130171
HGNC:14137		15094197, 16518797	90861
HGNC:37191	1992	21029862, 21254562	554203
HGNC:6199	1415|533	9675132	8629
HGNC:6200	1415|533	9240447	8690
HGNC:43670	1987		
HGNC:24963		12871958	126306
HGNC:6201		10321732, 27751357, 22079049	10899
HGNC:39180			
HGNC:6202		8247543, 8390040, 2247464	
HGNC:6203		8247543, 2247464	
HGNC:6204	506|1257	3194415	3725
HGNC:6205	506|1257	2513129	3726
HGNC:6206	506|1257	2112242, 1903194	3727
HGNC:6207	409|1542	1889810, 7604000	3728
HGNC:6208			
HGNC:6209		455493	
HGNC:21031		10601354	353219
HGNC:1702			
HGNC:6212			
HGNC:6213		17054399	
HGNC:4814	593|555|722|1691	9285789, 10023074	8997
HGNC:19309	623	12133830, 17996375, 19554261	23189
HGNC:52337			100862705
HGNC:29300	623	10819331, 17996375, 19554261	25959
HGNC:24796	623	17996375, 19554261	256949
HGNC:27263	623	17996375, 19554261	163782
HGNC:24565	1482	10574462	284058
HGNC:43740	1987		644246
HGNC:26310		12477932	151050
HGNC:41139	1987		101928020
HGNC:26024	1482|1835|1691	24788516	54934
HGNC:25473	1482		55683
HGNC:49510		24381249	102723508
HGNC:6215	132	8812440, 9278442, 23768514	3735
HGNC:39207			100419558
HGNC:39208			100419560
HGNC:39209			100132079
HGNC:4201	1232|1134|1058|1059|486	8552087	2648
HGNC:8638	1232|1134|1058|1059|486|1691	8684459, 9722949	8850
HGNC:5275	66|1584	8607265	10524
HGNC:13013	88|66|1584	8849440, 8782817	7994
HGNC:17582	88|66|1584	9205841, 10497217	23522
HGNC:17016	66|1584	10438470, 10930412	11143
HGNC:17933	1481|1482|66|1584	10786633	84148
HGNC:15904	1134|1058|486	9286703, 10924333, 19103755	57325
HGNC:6216	413	9658175	11104
HGNC:28361	413	19302785	84056
HGNC:25387	413	26153462	83473
HGNC:6217	362	9568719	10300
HGNC:26199		11230166	79768
HGNC:39724			100420919
HGNC:49052			100130235
HGNC:49053			100420946
HGNC:49054			100128982
HGNC:49055			100420841
HGNC:49056			729176
HGNC:25460	593	12975309	81621
HGNC:29173	760	15337775, 18840647	23254
HGNC:53610	1987	26975198	
HGNC:21751	861	10819331	25948
HGNC:22934	861		143879
HGNC:23761	861	11042152	55709
HGNC:25340	861	25684205	89890
HGNC:25266	861	11230166	84078
HGNC:30691	861	11347906	84541
HGNC:29104	861		9920
HGNC:49147	1988		
HGNC:25731	861		166348
HGNC:37227	861	21109227, 22542517	390594
HGNC:20589	91		56888
HGNC:6218	274	1349297, 8821794, 16382104	3736
HGNC:6220	274	16382104	3737
HGNC:6221	274	2251283, 16382104	3738
HGNC:6222	274	2263489, 16382104	3739
HGNC:6223		8449523	
HGNC:6224	274	16382104	3741
HGNC:6225	274|694	16382104	3742
HGNC:6226	274	16382104	3743
HGNC:6227			
HGNC:6219	274	16382104	3744
HGNC:6228	858|399	8838324, 7499366	7881
HGNC:40316	1987		
HGNC:40315	1987		
HGNC:6229	858|399	8838324	8514
HGNC:6230	858|399	9857044	9196
HGNC:6231	274	7774931, 16382104	3745
HGNC:6232	274	9612272, 16382104	9312
HGNC:6233	274	8449507, 16382104	3746
HGNC:6234	274	8111118, 16382104	3747
HGNC:6235	274	1740329, 8111118, 16382104	3748
HGNC:6236	274	1920536, 1740329, 16382104	3749
HGNC:6237	274	10729221, 16382104	3750
HGNC:6238	274	10551270, 16382104	3751
HGNC:6239	274	10942109, 16382104, 23280837	3752
HGNC:40317	1987		
HGNC:41350	1989		
HGNC:6240	858	8432548	3753
HGNC:52280	858		102723475
HGNC:6242	858	10219239	9992
HGNC:6243	858	10219239	10008
HGNC:6244	858	10219239, 12670483	23704
HGNC:6241	858	10493825, 12324418	23630
HGNC:6245			
HGNC:6246	274	9434767, 16382104	3754
HGNC:6247			
HGNC:6248	274	9434767, 16382104	3755
HGNC:6249	274	10551266, 16382104	26251
HGNC:18306	274	11852086, 16382104	170850
HGNC:19697	274	12060745, 16382104	93107
HGNC:6250	274	9738473, 16382104	3756
HGNC:41351	1989		
HGNC:6251	274	18616963, 7842012, 8159766, 16382104	3757
HGNC:6252	274	10455180, 16382104	23416
HGNC:6253	274	10455180, 16382104	23415
HGNC:6254	274	9738473, 16382104	27133
HGNC:18862	274	16382104	81033
HGNC:18863	274	16382104	90134
HGNC:40858	1987		101929570
HGNC:18864	274	16382104	131096
HGNC:15521	858|863	10676964	30820
HGNC:40710	1987		105377716
HGNC:40320	1988		101928033
HGNC:15522	858|863	10676964	30819
HGNC:48680	1987		100289509
HGNC:15523	858|863	9771752, 10078534	30818
HGNC:30083	858|863|1691	11805342, 11847232	80333
HGNC:29895	1989	12515386	359822
HGNC:6255	276	7680431, 8190102, 16382105	3758
HGNC:6263	276	7696590, 11240146, 16382105	3759
HGNC:43720	1987		400617
HGNC:6264	276	8088798, 16382105	3760
HGNC:6265	276	8016146, 16382105	3761
HGNC:6266	276	16382105	3762
HGNC:6267	276	7796919, 16382105	3763
HGNC:41352	1987		
HGNC:6268			
HGNC:6269	276	8595887, 16382105	3764
HGNC:6270	276	8575783, 16382105	3765
HGNC:6256	276	9367690, 8995301, 16382105	3766
HGNC:6257	276	7502040, 16382105	3767
HGNC:6258	276	7859381, 12417321, 16382105	3768
HGNC:6259	276	9878260, 9620703, 16382105	3769
HGNC:6260	276	9592090, 10723734, 16382105	3770
HGNC:6261	276	9299242, 8995301, 16382105	3772
HGNC:6262	276	11240146, 16382105	3773
HGNC:39080	276	20074522	100134444
HGNC:6271			
HGNC:6272	277|1691	8661042, 16382106	3775
HGNC:6277	277	9721223, 16382106	3776
HGNC:6278	277	9312005, 9721223, 16382106	3777
HGNC:6279	277	10767409, 16382106	50801
HGNC:6280	277	9812978, 16382106	8645
HGNC:6281	277	10075682, 10393428, 16382106	9424
HGNC:6282	277	10206991, 11256078, 16382106	10089
