HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:84			31
HGNC:85		8670171	32
HGNC:86			
HGNC:87	974	10524212, 12359132	27034
HGNC:21497	974|1387	12359260, 21057504, 20816094	28976
HGNC:21597	974	15560374	80724
HGNC:30211	974	25704813	84129
HGNC:88	974	1774065	33
HGNC:89	974	3035565	34
HGNC:90	974	2565344	35
HGNC:91	974	7698750, 7759115	36
HGNC:92	974	8921384	37
HGNC:319	1179|574|590|1298	1985970	176
HGNC:16467	395|1291|403	11050434, 11062263	9744
HGNC:16469	395|1291|403	11050434, 11062263	23527
HGNC:41426	1989		
HGNC:16754	395|1691|1291|403	27330119, 28919417	116983
HGNC:93		1979337	38
HGNC:94		2475872	39
HGNC:15453	396	12692076, 20150326	64746
HGNC:40701	1987	28881755	107985353
HGNC:23337		28463579	79777
HGNC:23338		12056414	91452
HGNC:23339	1691|403	18268358	84320
HGNC:17715		28690493	414149
HGNC:96			
HGNC:97			
HGNC:98			
HGNC:14594			
HGNC:23989		11470512	84680
HGNC:34391			390110
HGNC:25070	1334	15231715, 15181449	65057
HGNC:2707	471	2554286, 10319862	1636
HGNC:13557		10969042	59272
HGNC:44365		17597519	100129123
HGNC:18356	400	12783875	125981
HGNC:23675	400	18945876	340485
HGNC:54674			645978
HGNC:16066	400	11356846, 18619555	55331
HGNC:106			
HGNC:107			
HGNC:108	454	1380483	43
HGNC:109		1347967	
HGNC:110			
HGNC:111		10330355	
HGNC:112			
HGNC:113			
HGNC:17066	1236	9734811, 10490026	22985
HGNC:4035	1090|454|471	8248172, 7663520, 16148	2532
HGNC:1565	1090	9364936, 9405404, 16148	1238
HGNC:23692	1090	16107333, 16148	57007
HGNC:1611	1090	10767544, 16148	51554
HGNC:21142			285737
HGNC:114		8723117	
HGNC:115		1371749, 8088842	47
HGNC:116			
HGNC:19288	1691	12140278	130013
HGNC:34504		17116739, 18538142	347275
HGNC:117		2172968, 2771641	48
HGNC:118		10591208	50
HGNC:33904		12893884, 23610393	730249
HGNC:33128	41	16103133, 16940157	641371
HGNC:18431	41	16103133, 16940157	10965
HGNC:19748	41	16103133, 16940157	122970
HGNC:33159	41	16940157	641372
HGNC:24157	41	10578051, 16103133, 16940157	11332
HGNC:15919	41	10092594, 9153233, 16103133, 16940157	10005
HGNC:17152	41	10383425, 10810093, 16103133, 16940157	23597
HGNC:18156	41|759	11696000, 16103133, 16940157	26027
HGNC:24436	41|759	16103133, 16940157	134526
HGNC:20999	41	16934754, 19405909	55856
HGNC:119		8159712	51
HGNC:120		8943006, 9070889	8309
HGNC:121		9271077	8310
HGNC:25621			55289
HGNC:41112	1987		400997
HGNC:122	712|1071	457131, 1587862, 8586411	52
HGNC:123	1071	975882	53
HGNC:125	1071	1375464, 2842184	55
HGNC:14376	1071	11414767	93650
HGNC:124	1071	8449511, 2338077	54
HGNC:29609	1071	12010880, 10506173	51205
HGNC:33781	1071	16793224	390928
HGNC:126		2298447, 12398221	49
HGNC:17195	1492	11248070	84519
HGNC:54745			645529
HGNC:127		1693291, 8288254	56
HGNC:128			
HGNC:29567	40	9734811, 10954726	23205
HGNC:24174	40	11230166	81616
HGNC:26101	40	17762044	80221
HGNC:27288	40	17762044, 21846720	197322
HGNC:3569	40	2341402, 1531127	2180
HGNC:3570	40	21328461	2181
HGNC:40227	1987		105373904
HGNC:3571	40	9480748, 12949969	2182
HGNC:16526	40	11127823	51703
HGNC:16496	40	10502316, 10548543	23305
HGNC:40772	1987		101927693
HGNC:18049	40	11470804, 12654705	116285
HGNC:32017	40	19345228, 29948332	123876
HGNC:30931	40	12616642	348158
HGNC:10522	40	7843754, 7907320, 11470804	6296
HGNC:32016	40	17762044	341392
HGNC:26060	40	17762044	54988
HGNC:51295			100421779
HGNC:31665	40	23884467	142827
HGNC:16091	40	22313524	84532
HGNC:15814	40	10843999	55902
HGNC:24723	1691|40	17762044	79611
HGNC:129	929	10072583, 6865942	58
HGNC:130	929	2398629	59
HGNC:45169	1987	24721325, 28088733	100132116
HGNC:131			
HGNC:132	1605|1604|1606|929	1505215	60
HGNC:17780	929	25520667	345651
HGNC:134			643309
HGNC:135		3837182	62
HGNC:136		3837182	63
HGNC:137		3837182	64
HGNC:138		3837182	
HGNC:139			66
HGNC:140		6296793, 6571702	67
HGNC:141		6296793	68
HGNC:142		8941379	69
HGNC:31819			446207
HGNC:33971			644220
HGNC:150			100462767
HGNC:44626			389120
HGNC:45086			389976
HGNC:143	929	1639426	70
HGNC:51491			399923
HGNC:144	929	14684684	71
HGNC:146			73
HGNC:147			74
HGNC:148		8941379	75
HGNC:149		1692956	648740
HGNC:151		1692956	78
HGNC:152		1692956	79
HGNC:153		1692956	80
HGNC:154			82
HGNC:155		6592095	83
HGNC:37651			414754
HGNC:44496			100418921
HGNC:49058			100418920
HGNC:49751			100418910
HGNC:51495			100418951
HGNC:51496			100418960
HGNC:51497			283693
HGNC:51498			100418924
HGNC:51499			644160
HGNC:51500			644961
HGNC:51501			100131291
HGNC:51502			100131953
HGNC:51503			442097
HGNC:49661			441783
HGNC:145	929	1710027, 1673027	72
HGNC:156			
HGNC:157			
HGNC:158			
HGNC:159		1406950	
